,BIT_DEPTH,RATE_OF_PENETRATION,HOOK_LOAD,DIFFERENTIAL_PRESSURE,WEIGHT_ON_BIT,DRILL_BIT_ID,DRILL_BIT_NAME,Asteroid
0,105.22,1538.2,69.3,-1698.0,35.65,1,Apollo,5
1,106.11,2363.5,69.3,-1693.0,35.53,1,Apollo,5
2,107.01,1632.0,69.3,-1689.0,35.36,1,Apollo,5
3,107.92,1631.9,69.3,-1684.0,35.36,1,Apollo,5
4,108.93,1631.9,69.9,-1678.0,35.24,1,Apollo,5
5,192.83,166.9,47.7,42.0,14.07,1,Apollo,5
6,193.05,180.7,71.5,87.0,-2.12,1,Apollo,5
7,194.51,162.1,54.4,460.0,15.52,1,Apollo,5
8,196.56,264.1,57.5,342.0,10.7,1,Apollo,5
9,197.03,268.7,57.9,459.0,12.45,1,Apollo,5
10,198.52,271.6,60.4,274.0,9.53,1,Apollo,5
11,199.01,290.7,60.3,283.0,8.32,1,Apollo,5
12,200.54,279.7,59.5,310.0,13.23,1,Apollo,5
13,205.02,212.1,51.6,376.0,14.42,1,Apollo,5
14,208.56,299.3,57.2,406.0,12.63,1,Apollo,5
15,209.09,283.9,57.6,453.0,12.58,1,Apollo,5
16,210.55,297.0,60.6,351.0,7.48,1,Apollo,5
17,211.06,301.4,61.2,380.0,7.53,1,Apollo,5
18,213.12,295.4,56.3,414.0,12.09,1,Apollo,5
19,214.57,310.9,55.9,462.0,11.8,1,Apollo,5
20,215.13,324.3,53.9,467.0,13.58,1,Apollo,5
21,216.59,358.2,63.0,304.0,8.74,1,Apollo,5
22,218.55,332.2,57.8,463.0,10.24,1,Apollo,5
23,219.28,315.3,57.0,378.0,9.14,1,Apollo,5
24,220.62,321.9,59.8,299.0,7.92,1,Apollo,5
25,221.11,331.5,56.5,520.0,11.5,1,Apollo,5
26,223.07,342.9,55.1,498.0,12.69,1,Apollo,5
27,224.59,322.3,55.5,415.0,11.01,1,Apollo,5
28,225.07,354.6,53.4,495.0,13.5,1,Apollo,5
29,226.63,364.9,58.9,328.0,8.23,1,Apollo,5
30,227.1,364.9,58.5,387.0,8.78,1,Apollo,5
31,230.76,348.8,58.4,453.0,8.52,1,Apollo,5
32,232.67,341.7,60.3,347.0,6.68,1,Apollo,5
33,233.15,350.1,60.5,341.0,7.35,1,Apollo,5
34,234.55,356.5,57.9,408.0,8.91,1,Apollo,5
35,236.63,345.2,59.8,395.0,7.64,1,Apollo,5
36,238.73,374.2,56.9,401.0,9.81,1,Apollo,5
37,242.64,358.2,64.5,275.0,1.63,1,Apollo,5
38,244.61,395.4,57.7,471.0,7.69,1,Apollo,5
39,246.65,382.0,57.0,465.0,9.59,1,Apollo,5
40,247.14,375.7,56.5,437.0,10.04,1,Apollo,5
41,248.61,354.1,56.4,430.0,9.29,1,Apollo,5
42,250.65,379.2,58.5,514.0,9.6,1,Apollo,5
43,251.01,385.8,61.2,321.0,4.94,1,Apollo,5
44,254.58,383.6,56.6,445.0,8.31,1,Apollo,5
45,255.09,407.6,57.6,382.0,10.1,1,Apollo,5
46,256.82,395.2,57.9,383.0,7.79,1,Apollo,5
47,257.16,395.2,57.3,317.0,7.71,1,Apollo,5
48,261.11,409.5,55.7,450.0,12.62,1,Apollo,5
49,264.66,417.3,53.8,534.0,10.99,1,Apollo,5
50,274.7,426.6,60.0,391.0,6.08,1,Apollo,5
51,275.06,438.6,59.8,377.0,5.3,1,Apollo,5
52,276.51,439.2,57.1,450.0,8.69,1,Apollo,5
53,277.1,427.6,56.4,465.0,7.57,1,Apollo,5
54,278.78,424.4,61.3,390.0,7.83,1,Apollo,5
55,280.57,119.9,74.1,77.0,1.27,1,Apollo,5
56,281.01,101.1,68.3,217.0,5.22,1,Apollo,5
57,282.03,161.0,62.3,308.0,13.9,1,Apollo,5
58,284.56,269.1,61.3,300.0,16.43,1,Apollo,5
59,285.06,250.0,63.7,129.0,13.92,1,Apollo,5
60,286.67,394.9,62.9,411.0,12.84,1,Apollo,5
61,287.22,452.1,64.9,327.0,11.08,1,Apollo,5
62,288.54,429.7,63.2,428.0,13.67,1,Apollo,5
64,290.16,427.5,59.6,341.0,14.89,1,Apollo,5
65,291.06,403.8,64.4,438.0,12.68,1,Apollo,5
66,292.65,384.5,62.7,397.0,12.12,1,Apollo,5
67,293.02,401.0,61.0,244.0,14.94,1,Apollo,5
